iShares Russell 1000 ETF
Fund Holdings as of,"Mar 27, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"120,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","66,803,541.48","0.16","66,803,541.48","242,622.00","275.34","United States","NASDAQ","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","65,223,156.80","0.16","65,223,156.80","286,192.00","227.90","United States","NYSE","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","65,203,597.12","0.16","65,203,597.12","158,944.00","410.23","United States","NYSE","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","65,168,041.40","0.16","65,168,041.40","176,330.00","369.58","United States","NASDAQ","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","64,825,488.00","0.16","64,825,488.00","95,472.00","679.00","United States","NYSE","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","64,789,895.60","0.16","64,789,895.60","169,963.00","381.20","United States","NASDAQ","USD","1.00","USD","-"
"WMB","WILLIAMS INC","Energy","Equity","64,024,533.30","0.15","64,024,533.30","870,135.00","73.58","United States","NYSE","USD","1.00","USD","-"
"SNDK","SANDISK CORP","Information Technology","Equity","62,870,700.53","0.15","62,870,700.53","102,091.00","615.83","United States","NASDAQ","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","62,751,384.00","0.15","62,751,384.00","895,425.00","70.08","United States","NYSE","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","62,521,174.76","0.15","62,521,174.76","180,301.00","346.76","United States","NYSE","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","62,181,116.97","0.15","62,181,116.97","407,291.00","152.67","United States","NYSE","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","59,394,009.18","0.14","59,394,009.18","263,903.00","225.06","United States","NYSE","USD","1.00","USD","-"
"MRSH","MARSH INC","Financials","Equity","58,684,565.49","0.14","58,684,565.49","346,897.00","169.17","United States","NYSE","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","58,428,306.08","0.14","58,428,306.08","390,668.00","149.56","United States","NYSE","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","57,957,585.00","0.14","57,957,585.00","287,988.00","201.25","United States","NASDAQ","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","57,888,144.90","0.14","57,888,144.90","105,255.00","549.98","United States","NYSE","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","57,443,198.56","0.14","57,443,198.56","1,021,394.00","56.24","United States","NYSE","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","57,400,381.87","0.14","57,400,381.87","437,203.00","131.29","United States","NYSE","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","57,359,609.12","0.14","57,359,609.12","604,549.00","94.88","United States","NASDAQ","USD","1.00","USD","-"
"SLB","SLB NV","Energy","Equity","57,328,781.00","0.14","57,328,781.00","1,071,566.00","53.50","United States","NYSE","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","57,163,950.71","0.14","57,163,950.71","528,953.00","108.07","United States","NYSE","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","56,715,903.45","0.14","56,715,903.45","1,115,357.00","50.85","United States","NYSE","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","56,660,364.80","0.14","56,660,364.80","334,240.00","169.52","United States","NYSE","USD","1.00","USD","-"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","56,386,233.54","0.14","56,386,233.54","491,769.00","114.66","United States","NYSE","USD","1.00","USD","-"
