Symbol,Name,"Market Cap","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield(a)","Latest Earnings"
CTVA,"Corteva Inc",36549420000,21.78,2.41,735000000,0.77,0.64,1.22%,2024-07-31
CUBE,Cubesmart,10027002000,16.51,1.8,410760000,0.8,2.02,4.53%,2024-08-01
CUZ,"Cousins Properties Inc",3406413000,4.85,0.49,82960000,1.3,1.28,5.71%,2024-07-25
CVNA,"Carvana Company Cl A",25938704000,0,-1.73,450000000,3.37,N/A,0.00%,2024-07-31
CVS,"CVS Corp",71079216000,7.22,7.85,8344000000,0.52,2.54,4.49%,2024-08-07
CVX,"Chevron Corp",284388096000,12.53,12.51,21369000000,1.1,6.28,4.07%,2024-08-02
CW,"Curtiss-Wright Corp",10388218000,27.67,9.84,354510000,1.18,0.81,0.30%,2024-08-07
CWEN,"Clearway Energy Inc Cl C",4970721000,36.92,0.66,79000000,0.86,1.599,6.50%,2024-08-13
CWE.A,"Clearway Energy Inc [Cwen.A]",N/A,N/A,N/A,0,N/A,N/A,N/A,N/A
CXT,"Crane Nxt CO",3250526000,14.53,4.05,188300000,1.34,0.64,1.12%,2024-08-05
CZR,"Caesars Entertainment Inc",8046347000,139.74,0.27,786000000,2.98,N/A,0.00%,2024-07-30
D,"Dominion Energy Inc",41134192000,23,2.14,1994000000,0.58,2.67,5.44%,2024-08-02
DAL,"Delta Air Lines Inc",29697260000,7.36,6.44,4609000000,1.35,0.4,0.87%,2024-07-11
DAR,"Darling International Inc",5772851000,10.74,3.44,647730000,1.26,N/A,0.00%,2024-08-13
DASH,"Doordash Inc Cl A",45373096000,0,-1.08,-558000000.,1.67,N/A,0.00%,2024-08-01
DAY,"Dayforce Inc",8027636000,64.89,0.79,54800000,1.27,N/A,0.00%,2024-08-07
DBX,"Dropbox Inc",7373187000,17.54,1.29,453600000,0.65,N/A,0.00%,2024-08-01
